segment,arm,label,trades,win_rate,average_win,average_loss,profit_factor,gross_expectancy,net_expectancy,net_pnl,max_drawdown,max_drawdown_percent,mean_mae,max_mae,mean_mfe,max_mfe,sharpe,sortino,daily_observations,risk_ratio_note,actionable_signals,total_signals
train,A,Existing baseline,2180,0.686697247706422,0.4590178403473515,-2.4778256475846043,0.4060316780927697,-0.061103307477201725,-0.4611033074772018,-1005.2052103002999,1018.2501303002664,10.182104200938825,1.6162064220183527,45.42000000000007,1.4906146788990975,13.580000000000837,,,16,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",3795,17992
train,B,Technical-only entries,3147,0.6860502065459168,0.4585344474293678,-2.4069024470709084,0.4163026514284938,-0.041068873754703916,-0.441068873754704,-1388.0437457060534,1413.0989084771427,14.126248711238901,1.5845376549094372,22.360000000000582,1.5082459485224107,15.759999999999309,,,16,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",8170,17992
train,C,Wheel-only entries,2991,0.6726847208291541,0.45073808648110625,-2.5695217424779084,0.3605099405978693,-0.13783910260310492,-0.537839102603105,-1608.676755885887,1615.7167558859492,16.156537453898785,1.6857238381812154,45.42000000000007,1.4769842861919154,15.520000000000437,,,16,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",5784,17992
train,D,Existing combined (identical to A),2180,0.686697247706422,0.4590178403473515,-2.4778256475846043,0.4060316780927697,-0.061103307477201725,-0.4611033074772018,-1005.2052103002999,1018.2501303002664,10.182104200938825,1.6162064220183527,45.42000000000007,1.4906146788990975,13.580000000000837,,,16,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",3795,17992
validation,A,Existing baseline,708,0.7033898305084746,0.4973483514056099,-2.7821213007693446,0.42393050588772385,-0.07537569796831749,-0.4753756979683175,-336.5659941615688,336.56599416156496,3.3656599416156494,1.6967796610169745,12.159999999999854,1.5781920903954503,12.149999999999636,,,7,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1178,6002
validation,B,Technical-only entries,1057,0.6773888363292336,0.49804846648043005,-2.7389749902302367,0.3818055031792148,-0.14625143771856475,-0.5462514377185648,-577.387769668523,585.9852896685115,5.855082784161189,1.7806338694418296,23.48999999999978,1.5463670766319628,8.279999999999745,,,7,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",2718,6002
validation,C,Wheel-only entries,974,0.7073921971252567,0.4808168345428196,-2.783165521385005,0.4176524094716692,-0.07424987124714963,-0.47424987124714973,-461.9193745947238,466.3861578408887,4.662501627745581,1.7269917864476454,20.850000000000364,1.5445893223819211,12.149999999999636,,,7,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1796,6002
validation,D,Existing combined (identical to A),708,0.7033898305084746,0.4973483514056099,-2.7821213007693446,0.42393050588772385,-0.07537569796831749,-0.4753756979683175,-336.5659941615688,336.56599416156496,3.3656599416156494,1.6967796610169745,12.159999999999854,1.5781920903954503,12.149999999999636,,,7,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1178,6002
test,A,Existing baseline,717,0.6471408647140865,0.4498833642241519,-2.515970808701302,0.3279380391630045,-0.196645374618442,-0.596645374618442,-427.79473360142293,437.36109860141914,4.371570684358601,1.6167503486750223,26.950000000000728,1.3675592747559375,10.030000000000655,,,6,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1251,6033
test,B,Technical-only entries,1059,0.660056657223796,0.45754084263229094,-2.4174606114378823,0.3674896701829989,-0.11979676215077087,-0.5197967621507709,-550.4647711176664,550.8326711176578,5.508124067292142,1.5362700661000916,14.850000000000364,1.3774881964117025,10.970000000000255,,,6,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",2676,6033
test,C,Wheel-only entries,1011,0.6547972304648862,0.45752454833836725,-2.3935945335890594,0.36257376728348756,-0.12668965501739143,-0.5266896550173915,-532.4832412225828,542.1874407703071,5.421798383491347,1.5557764589515235,26.950000000000728,1.417210682492588,9.989999999999782,,,6,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1976,6033
test,D,Existing combined (identical to A),717,0.6471408647140865,0.4498833642241519,-2.515970808701302,0.3279380391630045,-0.196645374618442,-0.596645374618442,-427.79473360142293,437.36109860141914,4.371570684358601,1.6167503486750223,26.950000000000728,1.3675592747559375,10.030000000000655,,,6,"Withheld: short dependent daily sample; raw engine values retained in results, not interpreted.",1251,6033
