time,open,high,low,close,tick_volume,spread,real_volume
1786460400,4394.18,4398.85,4369.11,4383.77,39425.0,,
1786464000,4383.84,4385.82,4378.49,4383.45,21723.0,,
1786467600,4383.43,4385.72,4368.99,4369.15,20210.0,,
1786471200,4369.16,4372.78,4360.32,4371.62,30146.0,,
1786474800,4371.65,4374.24,4361.28,4370.81,26203.0,,
1786478400,4370.79,4371.15,4367.03,4368.01,5998.0,,
1786485600,4371.77,4378.53,4367.31,4369.09,12087.0,,
1786489200,4369.21,4374.62,4362.58,4371.58,11519.0,,
1786492800,4371.58,4383.71,4366.49,4380.55,17196.0,,
1786496400,4380.66,4397.51,4378.36,4396.57,27610.0,,
1786500000,4396.57,4414.58,4394.28,4411.32,22677.0,,
1786503600,4411.32,4416.01,4400.81,4402.29,19043.0,,
1786507200,4402.29,4403.21,4395.34,4401.04,10926.0,,
1786510800,4401.04,4404.9,4384.03,4391.17,17393.0,,
1786514400,4391.17,4406.35,4385.27,4403.5,20693.0,,
1786518000,4403.51,4410.06,4398.23,4406.25,12743.0,,
1786521600,4406.25,4410.56,4401.76,4401.87,10720.0,,
1786525200,4401.87,4424.32,4401.87,4415.87,21726.0,,
1786528800,4415.87,4420.93,4407.41,4412.73,15526.0,,
1786532400,4412.73,4416.79,4407.9,4412.81,11272.0,,
1786536000,4412.81,4438.4,4382.14,4437.41,59831.0,,
1786539600,4437.32,4441.44,4408.55,4427.7,84100.0,,
1786543200,4427.69,4439.73,4416.38,4422.02,74330.0,,
1786546800,4422.04,4430.1,4411.11,4421.03,48618.0,,
1786550400,4421.03,4426.52,4396.71,4401.71,44432.0,,
1786554000,4401.71,4411.53,4399.08,4399.43,35829.0,,
1786557600,4399.44,4417.89,4396.31,4413.08,23048.0,,
1786561200,4413.08,4418.39,4408.31,4413.98,25237.0,,
1786564800,4413.96,4414.24,4406.56,4408.42,5962.0,,
1786572000,4410.9,4411.6,4398.32,4401.69,6034.0,,
1786575600,4401.7,4414.5,4401.64,4414.4,4859.0,,
1786579200,4414.4,4449.85,4412.93,4427.8,29300.0,,
1786582800,4427.77,4435.34,4406.25,4408.49,36814.0,,
1786586400,4408.48,4414.14,4399.03,4407.21,24880.0,,
1786590000,4407.2,4412.3,4398.7,4400.26,18836.0,,
1786593600,4400.25,4400.43,4391.73,4397.73,19512.0,,
1786597200,4397.77,4407.31,4380.61,4382.99,33941.0,,
1786600800,4382.95,4385.61,4368.93,4380.99,29849.0,,
1786604400,4380.94,4381.72,4369.29,4370.0,23924.0,,
1786608000,4369.96,4379.38,4364.07,4375.92,23219.0,,
1786611600,4375.93,4384.87,4372.52,4384.58,17076.0,,
1786615200,4384.58,4393.84,4381.43,4392.23,10677.0,,
1786618800,4392.23,4396.67,4382.89,4387.72,15314.0,,
1786622400,4387.75,4402.01,4380.67,4401.87,32975.0,,
1786626000,4401.8,4402.14,4370.78,4372.8,59452.0,,
1786629600,4372.8,4387.15,4353.61,4383.73,73246.0,,
1786633200,4383.74,4385.73,4357.64,4365.21,44828.0,,
1786636800,4365.23,4368.43,4351.27,4367.1,34404.0,,
1786640400,4367.11,4373.39,4355.67,4356.02,30752.0,,
1786644000,4356.04,4363.6,4354.7,4357.03,26983.0,,
1786647600,4357.02,4358.9,4343.74,4350.22,28803.0,,
1786651200,4350.22,4352.24,4346.98,4351.0,7748.0,,
1786658400,4353.93,4362.81,4351.83,4354.86,10540.0,,
1786662000,4354.87,4364.18,4349.31,4356.4,13659.0,,
1786665600,4356.4,4362.06,4329.48,4341.04,26295.0,,
1786669200,4341.04,4341.55,4312.27,4318.16,34671.0,,
1786672800,4318.16,4322.8,4310.9,4315.83,26610.0,,
1786676400,4315.84,4328.26,4313.79,4323.63,12190.0,,
1786680000,4323.64,4328.22,4322.83,4326.96,11192.0,,
1786683600,4326.99,4333.65,4311.03,4333.64,26095.0,,
1786687200,4333.64,4336.67,4328.01,4335.75,19437.0,,
1786690800,4335.73,4345.28,4329.71,4343.74,17534.0,,
1786694400,4343.75,4349.78,4342.01,4348.74,16739.0,,
1786698000,4348.73,4357.5,4346.07,4357.2,14199.0,,
1786701600,4357.2,4358.69,4347.96,4349.42,10945.0,,
1786705200,4349.42,4369.49,4348.58,4369.29,14810.0,,
1786708800,4369.28,4387.01,4365.79,4373.71,32900.0,,
1786712400,4373.72,4397.07,4370.31,4384.6,50278.0,,
1786716000,4384.44,4394.65,4378.85,4381.49,38408.0,,
1786719600,4381.49,4394.84,4379.13,4391.63,29668.0,,
1786723200,4391.65,4396.82,4380.32,4385.97,19048.0,,
1786726800,4385.97,4386.47,4376.28,4378.45,13555.0,,
1786730400,4378.45,4382.78,4370.91,4373.57,12841.0,,
1786734000,4373.57,4379.96,4372.0,4376.21,16009.0,,
