time,open,high,low,close,tick_volume,spread,real_volume
1523419200,1341.71,1341.73,1340.01,1340.22,5148,6,0
1523421000,1340.23,1340.94,1339.79,1340.09,4795,6,0
1523422800,1340.09,1341.07,1340.02,1341.03,3566,6,0
1523424600,1341.03,1341.26,1340.06,1340.22,2971,6,0
1523426400,1340.23,1340.88,1340.11,1340.73,1864,6,0
1523428200,1340.74,1341.86,1340.7,1341.53,2868,6,0
1523430000,1341.52,1341.65,1341.02,1341.28,2096,6,0
1523431800,1341.28,1341.81,1341.09,1341.79,2136,6,0
1523433600,1341.79,1342.47,1341.69,1341.95,3158,6,0
1523435400,1341.96,1342.3,1341.4,1342.29,3191,4,0
1523437200,1342.28,1345.04,1342.0,1344.91,8085,4,0
1523439000,1344.91,1345.34,1344.28,1344.7,5796,4,0
1523440800,1344.7,1345.44,1343.85,1344.88,6793,4,0
1523442600,1344.9,1345.32,1344.57,1344.88,5232,4,0
1523444400,1344.89,1345.3,1343.29,1344.25,6098,4,0
1523446200,1344.25,1344.25,1342.59,1343.3,5424,4,0
1523448000,1343.3,1343.83,1342.86,1343.46,5211,4,0
1523449800,1343.46,1345.98,1343.25,1345.52,5585,4,0
1523451600,1345.52,1347.46,1345.32,1346.64,6596,4,0
1523453400,1346.64,1346.88,1345.62,1346.75,5686,4,0
1523455200,1346.73,1351.15,1346.41,1350.79,13627,4,0
1523457000,1350.77,1351.52,1348.35,1348.81,10643,4,0
1523458800,1348.77,1352.09,1348.51,1351.57,11051,4,0
1523460600,1351.53,1355.21,1351.53,1352.57,14597,4,0
1523462400,1352.55,1353.07,1349.78,1350.74,12071,4,0
1523464200,1350.76,1354.11,1350.72,1352.54,15547,4,0
1523466000,1352.55,1354.14,1351.37,1353.15,13259,4,0
1523467800,1353.15,1359.15,1351.55,1359.03,17039,4,0
1523469600,1359.04,1364.14,1358.38,1362.91,16843,4,0
1523471400,1362.91,1365.29,1360.79,1361.3,12872,4,0
1523473200,1361.31,1362.45,1355.45,1357.83,14946,4,0
1523475000,1357.81,1359.59,1357.16,1358.35,10358,4,0
1523476800,1358.22,1358.56,1354.11,1356.47,13299,4,0
1523478600,1356.48,1358.62,1354.81,1355.49,8543,4,0
1523480400,1355.48,1356.52,1347.65,1350.41,16494,4,0
1523482200,1350.42,1350.87,1348.97,1349.75,8711,4,0
1523484000,1349.74,1352.31,1349.01,1351.99,8889,6,0
1523485800,1351.99,1352.13,1350.51,1351.13,6193,6,0
1523487600,1351.13,1352.97,1350.96,1352.86,3037,6,0
1523489400,1352.86,1353.51,1352.54,1353.18,1989,6,0
1523494800,1352.65,1353.03,1352.58,1352.98,987,6,0
1523496600,1352.98,1353.11,1352.62,1353.01,886,6,0
1523498400,1353.0,1353.02,1351.44,1351.94,1843,6,0
1523500200,1351.94,1353.13,1351.94,1352.94,2248,6,0
1523502000,1352.94,1353.19,1352.21,1352.25,4600,6,0
1523503800,1352.29,1352.29,1351.1,1351.69,5476,6,0
1523505600,1351.69,1352.11,1350.74,1351.98,5423,6,0
1523507400,1352.01,1352.62,1349.71,1351.73,5808,6,0
1523509200,1351.74,1352.23,1350.46,1351.0,5624,6,0
1523511000,1350.96,1351.02,1349.21,1350.18,5197,6,0
1523512800,1350.18,1351.33,1349.87,1350.73,3665,6,0
1523514600,1350.72,1351.9,1350.59,1351.14,3718,6,0
1523516400,1351.13,1351.13,1350.01,1350.66,2737,6,0
1523518200,1350.64,1350.67,1348.62,1349.54,4541,6,0
1523520000,1349.55,1349.91,1348.9,1349.9,3679,6,0
1523521800,1349.88,1350.93,1349.55,1350.53,3955,4,0
1523523600,1350.53,1351.44,1349.93,1351.03,6634,4,0
1523525400,1351.01,1351.57,1350.36,1350.39,5622,4,0
1523527200,1350.39,1352.27,1350.18,1351.05,8208,4,0
1523529000,1351.06,1351.29,1348.37,1348.85,9224,4,0
1523530800,1348.85,1350.21,1348.46,1349.95,6272,4,0
1523532600,1349.95,1349.96,1346.74,1346.9,8693,4,0
1523534400,1346.91,1347.56,1345.24,1347.02,10662,4,0
1523536200,1347.01,1347.65,1345.43,1347.64,6571,4,0
1523538000,1347.62,1348.99,1346.59,1346.83,8505,4,0
1523539800,1346.83,1346.84,1343.83,1345.49,10119,4,0
1523541600,1345.46,1347.55,1345.38,1346.31,8885,4,0
1523543400,1346.3,1347.22,1344.93,1345.05,11229,4,0
1523545200,1345.05,1346.96,1340.78,1343.02,12568,4,0
1523547000,1342.94,1345.06,1342.94,1343.3,11308,4,0
1523548800,1343.33,1345.62,1340.83,1342.18,15013,4,0
1523550600,1342.14,1342.97,1338.8,1340.0,17574,4,0
1523552400,1340.03,1341.72,1337.94,1338.87,13028,4,0
1523554200,1338.79,1340.19,1337.73,1338.29,12363,4,0
1523556000,1338.29,1339.59,1335.74,1337.41,11252,4,0
1523557800,1337.41,1338.78,1336.57,1338.05,10408,4,0
1523559600,1338.06,1339.21,1337.67,1337.81,8493,4,0
1523561400,1337.86,1338.4,1336.11,1338.11,9270,4,0
1523563200,1338.12,1339.64,1336.79,1339.08,13563,4,0
1523565000,1339.09,1339.98,1337.2,1337.85,8935,4,0
1523566800,1337.84,1338.07,1336.42,1336.8,6667,4,0
1523568600,1336.81,1337.58,1336.6,1336.85,6101,4,0
1523570400,1336.88,1337.53,1334.67,1335.03,5647,6,0
1523572200,1335.02,1335.43,1333.76,1335.41,6252,6,0
1523574000,1335.41,1335.86,1334.81,1335.24,2598,6,0
1523575800,1335.24,1335.24,1334.74,1335.0,2266,6,0
1523581200,1334.58,1336.46,1334.56,1336.33,2187,7,0
1523583000,1336.33,1338.37,1336.32,1338.28,2613,6,0
1523584800,1338.27,1338.51,1337.61,1338.45,1989,6,0
1523586600,1338.43,1338.57,1337.59,1337.83,2489,6,0
1523588400,1337.83,1338.2,1337.43,1337.75,4645,6,0
1523590200,1337.76,1338.0,1336.52,1337.83,4176,6,0
1523592000,1337.9,1339.12,1337.74,1338.05,4842,6,0
1523593800,1338.05,1338.7,1338.04,1338.45,4740,6,0
1523595600,1338.43,1340.41,1338.29,1339.78,5263,6,0
1523597400,1339.78,1340.9,1339.78,1340.52,3377,6,0
1523599200,1340.53,1340.59,1339.8,1339.91,3481,6,0
1523601000,1339.9,1340.42,1339.71,1340.4,1857,6,0
1523602800,1340.38,1340.77,1339.97,1340.48,2094,6,0
1523604600,1340.43,1341.06,1340.35,1340.48,2233,6,0
1523606400,1340.49,1340.54,1339.24,1339.36,2914,6,0
1523608200,1339.37,1340.12,1338.4,1338.47,3572,4,0
1523610000,1338.45,1338.86,1337.18,1337.53,8816,4,0
1523611800,1337.52,1338.17,1336.28,1337.27,6702,4,0
1523613600,1337.25,1340.54,1336.67,1339.39,8355,4,0
1523615400,1339.34,1340.34,1338.88,1339.86,7834,4,0
1523617200,1339.86,1340.81,1339.73,1339.97,7046,4,0
1523619000,1339.97,1341.9,1339.96,1341.18,6365,4,0
1523620800,1341.12,1341.37,1340.41,1340.88,4952,4,0
1523622600,1340.87,1341.32,1340.6,1340.62,4766,4,0
1523624400,1340.63,1341.44,1340.51,1341.34,4013,4,0
1523626200,1341.34,1341.37,1338.98,1339.05,5697,4,0
1523628000,1339.03,1339.44,1333.34,1337.54,10127,4,0
1523629800,1337.54,1338.24,1336.21,1336.47,6444,4,0
1523631600,1336.47,1338.09,1335.63,1337.15,8197,4,0
1523633400,1337.17,1339.76,1336.46,1338.68,8569,4,0
1523635200,1338.68,1340.52,1337.44,1340.23,10803,4,0
1523637000,1340.3,1344.13,1339.73,1343.77,15550,4,0
1523638800,1343.71,1345.82,1343.71,1344.83,15791,4,0
1523640600,1344.85,1345.53,1343.67,1345.41,13606,4,0
1523642400,1345.44,1346.53,1344.27,1345.42,13248,4,0
1523644200,1345.43,1346.68,1344.83,1345.21,9868,4,0
1523646000,1345.22,1346.3,1345.05,1345.57,8264,4,0
1523647800,1345.56,1347.19,1345.52,1346.56,8363,4,0
1523649600,1346.56,1346.78,1343.96,1344.73,8162,4,0
1523651400,1344.72,1344.86,1342.93,1343.76,6262,4,0
1523653200,1343.76,1345.26,1343.56,1344.92,4761,4,0
1523655000,1344.92,1345.05,1343.88,1344.78,6039,4,0
1523656800,1344.79,1346.93,1344.67,1345.7,9672,6,0
1523658600,1345.7,1345.95,1344.19,1344.44,7412,6,0
1523660400,1344.43,1345.15,1344.29,1345.04,2019,6,0
1523662200,1345.04,1345.63,1344.94,1345.33,1797,6,0
1523840400,1346.14,1347.72,1340.19,1340.72,6029,6,0
1523842200,1340.72,1342.29,1340.39,1342.29,1559,8,0
1523844000,1342.29,1345.71,1342.18,1345.61,2312,6,0
1523845800,1345.6,1345.63,1343.84,1343.85,1386,11,0
1523847600,1343.88,1345.36,1343.84,1345.03,1805,6,0
1523849400,1344.98,1345.03,1343.23,1343.96,3543,6,0
1523851200,1343.96,1347.28,1343.95,1347.01,6693,6,0
1523853000,1347.01,1348.74,1346.4,1347.33,6719,6,0
1523854800,1347.33,1348.06,1345.66,1347.61,5359,6,0
1523856600,1347.61,1348.49,1346.78,1348.25,5409,6,0
1523858400,1348.25,1348.28,1347.31,1347.35,3337,6,0
1523860200,1347.36,1347.57,1346.73,1347.33,2510,6,0
1523862000,1347.34,1347.65,1346.94,1347.2,2297,6,0
1523863800,1347.19,1347.19,1345.67,1345.97,2812,6,0
1523865600,1345.99,1346.33,1345.42,1346.3,3037,6,0
1523867400,1346.32,1346.56,1343.79,1344.36,4647,4,0
1523869200,1344.33,1344.87,1342.78,1343.76,6828,4,0
1523871000,1343.76,1343.78,1342.82,1343.45,6346,4,0
1523872800,1343.47,1343.47,1341.16,1341.98,8546,4,0
1523874600,1341.97,1345.14,1341.77,1345.03,9128,4,0
1523876400,1345.03,1345.7,1344.37,1345.22,6758,4,0
1523878200,1345.25,1345.91,1344.76,1345.15,5665,4,0
1523880000,1345.17,1345.26,1343.99,1344.34,4537,4,0
1523881800,1344.29,1345.54,1343.97,1344.13,6182,4,0
1523883600,1344.13,1344.65,1343.43,1344.65,5150,4,0
1523885400,1344.65,1344.76,1342.94,1343.15,4705,4,0
1523887200,1343.14,1343.6,1342.38,1342.77,5033,4,0
1523889000,1342.77,1344.5,1342.59,1343.41,5896,4,0
1523890800,1343.35,1345.45,1342.9,1343.82,7787,4,0
1523892600,1343.82,1346.6,1343.22,1345.66,12947,4,0
1523894400,1345.64,1348.46,1344.89,1347.35,11270,4,0
1523896200,1347.35,1349.0,1346.42,1348.62,12828,4,0
1523898000,1348.61,1350.54,1348.61,1349.78,13643,4,0
1523899800,1349.76,1350.25,1348.53,1349.36,11191,4,0
1523901600,1349.35,1349.44,1347.78,1348.4,10142,4,0
1523903400,1348.41,1348.56,1346.2,1347.26,8787,4,0
1523905200,1347.25,1349.28,1346.61,1348.79,7098,4,0
